2024-07-24 17:19:18,321 INFO    MainThread:970 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Configure stats pid to 970
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Loading settings from /home/lanzihan/.config/wandb/settings
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Loading settings from /home/lanzihan/workspace/Github/roboagent/wandb/settings
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/lanzihan/workspace/Github/roboagent/train.py', 'program': 'train.py'}
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_init.py:_log_setup():529] Logging user logs to /home/lanzihan/workspace/Github/roboagent/wandb/offline-run-20240724_171918-4u7syk0i/logs/debug.log
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_init.py:_log_setup():530] Logging internal logs to /home/lanzihan/workspace/Github/roboagent/wandb/offline-run-20240724_171918-4u7syk0i/logs/debug-internal.log
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_init.py:init():569] calling init triggers
2024-07-24 17:19:18,322 INFO    MainThread:970 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-24 17:19:18,323 INFO    MainThread:970 [wandb_init.py:init():619] starting backend
2024-07-24 17:19:18,323 INFO    MainThread:970 [wandb_init.py:init():623] setting up manager
2024-07-24 17:19:18,325 INFO    MainThread:970 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-24 17:19:18,328 INFO    MainThread:970 [wandb_init.py:init():631] backend started and connected
2024-07-24 17:19:18,334 INFO    MainThread:970 [wandb_init.py:init():720] updated telemetry
2024-07-24 17:19:18,368 INFO    MainThread:970 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-24 17:19:18,374 INFO    MainThread:970 [wandb_init.py:init():804] starting run threads in backend
2024-07-24 17:19:21,837 INFO    MainThread:970 [wandb_run.py:_console_start():2380] atexit reg
2024-07-24 17:19:21,838 INFO    MainThread:970 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-24 17:19:21,838 INFO    MainThread:970 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-24 17:19:21,838 INFO    MainThread:970 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-24 17:19:21,841 INFO    MainThread:970 [wandb_init.py:init():847] run started, returning control to user process
2024-07-24 17:19:27,517 WARNING MsgRouterThr:970 [router.py:message_loop():77] message_loop has been closed
