2024-07-29 15:17:46,232 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Configure stats pid to 1463
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Loading settings from /home/lanzihan/.config/wandb/settings
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Loading settings from /home/lanzihan/workspace/Github/roboagent/wandb/settings
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/lanzihan/workspace/Github/roboagent/train.py', 'program': 'train.py'}
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_init.py:_log_setup():529] Logging user logs to /home/lanzihan/workspace/Github/roboagent/wandb/run-20240729_151746-01eajdzv/logs/debug.log
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_init.py:_log_setup():530] Logging internal logs to /home/lanzihan/workspace/Github/roboagent/wandb/run-20240729_151746-01eajdzv/logs/debug-internal.log
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_init.py:init():569] calling init triggers
2024-07-29 15:17:46,233 INFO    MainThread:1463 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-29 15:17:46,234 INFO    MainThread:1463 [wandb_init.py:init():619] starting backend
2024-07-29 15:17:46,234 INFO    MainThread:1463 [wandb_init.py:init():623] setting up manager
2024-07-29 15:17:46,236 INFO    MainThread:1463 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-29 15:17:46,240 INFO    MainThread:1463 [wandb_init.py:init():631] backend started and connected
2024-07-29 15:17:46,244 INFO    MainThread:1463 [wandb_init.py:init():720] updated telemetry
2024-07-29 15:17:46,272 INFO    MainThread:1463 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-29 15:17:47,015 INFO    MainThread:1463 [wandb_run.py:_on_init():2402] communicating current version
2024-07-29 15:17:52,020 INFO    MainThread:1463 [wandb_run.py:_on_init():2411] got version response 
2024-07-29 15:17:52,022 INFO    MainThread:1463 [wandb_init.py:init():804] starting run threads in backend
2024-07-29 15:17:55,278 INFO    MainThread:1463 [wandb_run.py:_console_start():2380] atexit reg
2024-07-29 15:17:55,279 INFO    MainThread:1463 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-29 15:17:55,279 INFO    MainThread:1463 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-29 15:17:55,279 INFO    MainThread:1463 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-29 15:17:55,283 INFO    MainThread:1463 [wandb_init.py:init():847] run started, returning control to user process
